InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
572300,22423,REGENCY CAKESTAND 3 TIER,2,10/23/2011 14:40,12.75,18005,United Kingdom
568984,22505,MEMO BOARD COTTAGE DESIGN,1,9/29/2011 15:57,4.95,17813,United Kingdom
573333,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,10/30/2011 11:34,4.15,12483,Sweden
551988,22673,FRENCH GARDEN SIGN BLUE METAL,12,5/5/2011 15:08,1.25,12576,Poland
572070,21137,BLACK RECORD COVER FRAME,24,10/20/2011 13:37,3.39,15587,United Kingdom
549575,84789,ENCHANTED BIRD PLANT CAGE,1,4/10/2011 16:04,3.75,13956,United Kingdom
568346,23224,CHERUB HEART DECORATION GOLD,1,9/26/2011 15:28,1.63,14096,United Kingdom
569535,23542,WALL ART 70'S ALPHABET,2,10/4/2011 15:41,8.25,15044,United Kingdom
580405,22467,GUMBALL COAT RACK,6,12/4/2011 12:02,2.55,14720,United Kingdom
570249,21888,BINGO SET,4,10/10/2011 08:58,3.75,17509,United Kingdom
561039,21916,SET 12 RETRO WHITE CHALK STICKS,24,7/24/2011 12:02,0.42,16525,United Kingdom
544930,21894,POTTING SHED SEED ENVELOPES,1,2/24/2011 18:26,1.25,17472,United Kingdom
549238,23182,TOILET SIGN OCCUPIED OR VACANT,4,4/7/2011 11:30,0.83,14667,United Kingdom
565915,20719,WOODLAND CHARLOTTE BAG,5,9/7/2011 15:52,0.85,15752,United Kingdom
572451,22674,FRENCH TOILET SIGN BLUE METAL,12,10/24/2011 12:36,1.25,12921,United Kingdom
579196,21935,SUKI  SHOULDER BAG,3,11/28/2011 15:54,1.63,14096,United Kingdom
548218,22652,TRAVEL SEWING KIT,10,3/30/2011 9:36,1.65,13999,United Kingdom
566850,23247,BISCUIT TIN 50'S CHRISTMAS,6,9/15/2011 12:04,2.89,13662,United Kingdom
547963,22794,SWEETHEART WIRE MAGAZINE RACK,2,3/28/2011 15:42,7.95,13037,United Kingdom
540813,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,1/11/2011 12:41,2.95,14669,United Kingdom
551960,22508,DOORSTOP RETROSPOT HEART,4,5/5/2011 12:38,3.75,18239,United Kingdom
548353,22677,FRENCH BLUE METAL DOOR SIGN 2,15,3/30/2011 15:05,1.25,15980,United Kingdom
544676,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2/22/2011 16:03,3.75,17841,United Kingdom
576695,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,11/16/2011 12:25,7.95,16469,United Kingdom
541094,85186C,BUNNY EGG GARLAND,4,1/13/2011 13:36,0.42,13246,United Kingdom
